id,timestamp,where_stranger,when_stranger,where_student,where_friend,coin_same,coin_different,number_0_10,number_list,number_big,demos_status,demos_identities,demos_languages,error_stranger,error_student,error_friend
1,2020-04-21T11:05:14Z,Harper,1899-12-30T11:00:00Z,The Reg,Dollop,Heads,Tails,7,261,67,UChicago undergraduate student,NA,NA,NA,NA,NA
2,2020-04-21T11:05:25Z,The bean,1899-12-30T10:30:00Z,Reg,Dorms,Heads,Tails,5,13,10,UChicago undergraduate student,NA,NA,NA,NA,NA
3,2020-04-21T11:05:45Z,Last place we met,1899-12-30T14:00:00Z,Hutchinson,Eckardt,Heads,Tails,1,555,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
4,2020-04-21T11:06:23Z,The Bean,1899-12-30T12:00:00Z,Reynolds Club,Max Central,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
5,2020-04-21T11:06:54Z,Starbucks downtown,1899-12-30T17:00:00Z,The Reg,Our dorm building,Heads,Heads,7,7,1000,NA,NA,NA,NA,NA,NA
6,2020-04-21T11:07:28Z,I would meet them in front of my dorm (Campus North),1899-12-30T12:00:00Z,In the Quad,In my dorm building (Campus North),Heads,Tails,5,13,1000000,NA,NA,NA,NA,NA,NA
7,2020-04-21T11:08:20Z,Philz Coffee,1899-12-30T11:00:00Z,Regenstein Library,In my dorm,Heads,Heads,7,99,1000,NA,NA,NA,NA,NA,NA
8,2020-04-21T11:08:46Z,North Residential  (or the last place we met),1899-12-30T18:00:00Z,The reg,North Residential,Tails,Heads,7,261,100,NA,NA,NA,NA,NA,NA
9,2020-04-21T11:08:51Z,UChicago Central Quad,1899-12-30T11:00:00Z,The Reg,My apartment,Heads,Tails,7,7,10000,NA,NA,NA,NA,NA,NA
10,2020-04-21T11:09:22Z,UChicago - dollop,1899-12-30T12:00:00Z,UChicago - dollop,Dollop,Heads,Heads,5,100,1000000,NA,NA,NA,NA,NA,NA
11,2020-04-21T11:24:01Z,the bean,1899-12-30T11:00:00Z,Pret-a-Manger,Lobby of Max P East,Heads,Heads,7,100,1000,NA,NA,NA,NA,NA,NA
12,2020-04-21T11:24:04Z,The Quad,1899-12-30T13:00:00Z,Ex Libris Cafe,Bartlett,Heads,Tails,7,13,22,NA,NA,NA,NA,NA,NA
13,2020-04-21T11:24:09Z,Their house,1899-12-30T10:00:00Z,"The reg, A-level",Show up to their room,Heads,Heads,10,100,100,NA,NA,NA,TRUE,NA,NA
14,2020-04-21T11:24:12Z,Reg,1899-12-30T17:00:00Z,Pret or Reg,Reg,Tails,Heads,7,7,37,NA,NA,NA,NA,NA,NA
15,2020-04-21T11:24:12Z,Teamo,1899-12-30T13:00:00Z,Pret,Teamo,Heads,Tails,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
16,2020-04-21T11:24:37Z,Starbucks Reserve,1899-12-30T11:00:00Z,Ex Lib,At their apartment,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
17,2020-04-21T11:25:11Z,The Bean,1899-12-30T11:00:00Z,The Reg (library),Dollop,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
18,2020-04-29T17:11:47Z,"either the home of the person I am meeting if they are not likely to come to me, or stay at my home and understand that that person will come to me",1899-12-30T17:00:00Z,"the reg, the most central location on campus",our shared apartment,Heads,Tails,7,7,999,UChicago undergraduate student,NA,NA,TRUE,NA,NA
19,2020-04-29T21:04:29Z,Reg,1899-12-30T19:00:00Z,Ex Lib,Home,Heads,Tails,5,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
20,2020-04-29T22:13:00Z,Burton Judson Courts,1899-12-30T12:00:00Z,the quad,Burton Judson Courts,Tails,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
21,2020-04-30T01:37:20Z,Bean,1899-12-30T12:00:00Z,Main quad,North,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
22,2020-04-30T02:58:28Z,Magnificent Mile,1899-12-30T12:00:00Z,Regenstein,Regenstein,Heads,Heads,5,100,50,NA,NA,NA,NA,NA,NA
23,2020-04-30T07:19:47Z,coffee shop/restaurant next where they're staying,1899-12-30T12:30:00Z,the quad,a coffee shop we regularly visit together,Heads,Heads,3,99,1000000,NA,NA,NA,TRUE,NA,NA
24,2020-04-30T09:09:21Z,"Somewhere prominent downtown, like the Sears tower",1899-12-30T12:00:00Z,The Reg,House lounge (or his room),Heads,Heads,7,100,100,NA,NA,NA,NA,NA,NA
25,2020-04-30T09:27:58Z,Millennium Park,1899-12-30T09:00:00Z,At the center of the Quad,The entrance of his or her dorm.,Heads,Heads,6,261,999,NA,NA,NA,NA,NA,NA
26,2020-04-30T09:46:01Z,Last place i saw them,1899-12-30T18:00:00Z,The Reg,Their apartment,Heads,Heads,5,100,1000000000,NA,NA,NA,TRUE,NA,NA
27,2020-04-30T10:05:06Z,the first floor of the reg,1899-12-30T14:00:00Z,pret or hutch,mansueto,Tails,Tails,7,7,1000000,NA,NA,NA,NA,TRUE,NA
28,2020-04-30T10:07:51Z,The Regenstein,1899-12-30T17:30:00Z,The Regenstein,My dorm room,Heads,Tails,6,100,1000,NA,NA,NA,NA,NA,NA
29,2020-04-30T10:15:54Z,Ex Libris,1899-12-30T17:00:00Z,Pret,Hallowed Grounds,Heads,Heads,10,100,10000,NA,NA,NA,NA,NA,NA
30,2020-04-30T10:30:42Z,Hutchinson Commons,1899-12-30T10:00:00Z,Harper Library,Dorm Room,Heads,Tails,7,261,100,NA,NA,NA,NA,NA,NA
31,2020-04-30T10:49:50Z,I don't go meet them.,1899-12-30T12:00:00Z,The Reg,Their apartment,Heads,Heads,NA,7,1003,NA,NA,NA,NA,NA,NA
32,2020-04-30T10:58:39Z,First Floor of the reg. I am assuming we are meeting to work on school work.,1899-12-30T16:00:00Z,"A really trafficked place, like the road between the reg and the quad",Their room,Heads,Heads,5,261,100,NA,NA,NA,TRUE,TRUE,NA
33,2020-04-30T10:58:48Z,the middle of the quad or the A level,1899-12-30T12:00:00Z,the quad,The house lounge,Heads,Tails,7,7,100,NA,NA,NA,NA,NA,NA
34,2020-04-30T11:07:04Z,"To where they live or somewhere I see them often, somewhere we run into each other frequently",1899-12-30T17:00:00Z,the reg,ratner or baker,Heads,Tails,10,100,1000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
35,2020-04-30T11:09:14Z,Millenium Park/ Michigan Avenue,1899-12-30T16:00:00Z,Regenstein Library,Dollop coffee,Tails,Tails,6,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
36,2020-04-30T11:12:09Z,Their home,1899-12-30T18:00:00Z,Reg,Logan,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
37,2020-04-30T11:12:42Z,the quad,1899-12-30T12:00:00Z,the reg,her room,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
38,2020-04-30T11:15:22Z,the Bean!,1899-12-30T12:00:00Z,"outside the Reg, the Arch",at their room,Heads,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
39,2020-04-30T11:17:06Z,Millennium Park,1899-12-30T12:30:00Z,uchicago quad,residential hall,Heads,Heads,5,555,999,NA,NA,NA,NA,NA,NA
40,2020-04-30T11:24:43Z,Their home,1899-12-30T07:30:00Z,The Reg,Their house,Heads,Heads,5,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
41,2020-04-30T11:25:18Z,Union Station,1899-12-30T10:00:00Z,Bartlett or the Reg,Stony Island,NA,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
42,2020-04-30T11:31:08Z,At their hotel/dorm,1899-12-30T11:00:00Z,The quad,Their house,Heads,Heads,0,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
43,2020-04-30T11:37:14Z,at their home as early as possible,1899-12-30T12:00:00Z,quad,"Where I usually see them, at CSIL.",Heads,Heads,1,100,1000000,NA,NA,NA,TRUE,NA,NA
44,2020-04-30T11:45:10Z,Meet them at your apartment.,1899-12-30T12:00:00Z,The Reg,My apartment,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
45,2020-04-30T11:46:32Z,Station,1899-12-30T12:00:00Z,Reg,Reg,Heads,Heads,5,100,100,NA,NA,NA,NA,NA,NA
46,2020-04-30T11:46:58Z,The bean,1899-12-30T02:00:00Z,the reg,Crerar,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
47,2020-04-30T11:51:04Z,Millennium Park,1899-12-30T12:00:00Z,The Reg,Max P Central,Tails,Tails,5,99,999,NA,NA,NA,NA,NA,NA
48,2020-04-30T11:58:01Z,where ever they are staying,1899-12-30T12:00:00Z,the middle of the quad,harper cubicles,Heads,Heads,5,100,100,NA,NA,NA,TRUE,NA,NA
49,2020-04-30T12:12:03Z,"Somewhere thats a landmark, so if I know they're in Hyde Park/campus Harper or the Reg,but if they are not associated with UChicago the Bean or something",1899-12-30T13:00:00Z,The Reg,The Lounge,Tails,Tails,5,100,50,NA,NA,NA,NA,NA,NA
50,2020-04-30T12:16:33Z,where they are staying,1899-12-30T10:00:00Z,reynolds club,their or my apartment,Heads,Heads,5,100,1200,NA,NA,NA,TRUE,NA,NA
51,2020-04-30T12:26:04Z,The quad,1899-12-30T12:00:00Z,The quad,The library,Heads,Tails,5,100,1000,NA,NA,NA,NA,NA,NA
52,2020-04-30T12:26:20Z,Downtown near the loop,1899-12-30T12:00:00Z,Regenstein Library,Their apartment or a common hangout place,Tails,Tails,7,7,1000000,NA,NA,NA,NA,NA,NA
53,2020-04-30T12:27:35Z,I would try to meet them outside the reg since I feel like there is a lot of traffic and likely hood that I would be able to find them.,1899-12-30T10:30:00Z,The Reg,At their dorm,Tails,Tails,7,7,1000000,NA,NA,NA,NA,NA,NA
54,2020-04-30T12:44:11Z,The Bean,1899-12-30T12:00:00Z,I stand on the quad with a sign that has my name on it,Bartlett,Heads,Heads,5,7,1000000,NA,NA,NA,NA,NA,NA
55,2020-04-30T12:52:05Z,The Bean,1899-12-30T10:00:00Z,Regenstein Library first floor,My fraternity house,Heads,Heads,1,100,1000000,NA,NA,NA,NA,NA,NA
56,2020-04-30T13:02:14Z,first floor of reg,1899-12-30T14:30:00Z,middle of quad,Pret,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
57,2020-04-30T13:05:24Z,Their house or apartment most likely,1899-12-30T11:00:00Z,Probably the reg if I don't know what dorm/off campus housing they're in,I would meet them at their apartment,Tails,Tails,7,261,1000000,NA,NA,NA,TRUE,NA,NA
58,2020-04-30T13:16:32Z,"I would go to the place where they are staying; if they are visiting I would go to their hotel, if they are a student I would go to their apartment",1899-12-30T16:00:00Z,I would go to the lobby of Reynold's Club,I would meet them at our fraternity house,Heads,Tails,7,7,777,NA,NA,NA,TRUE,NA,NA
59,2020-04-30T14:11:40Z,The bean,1899-12-30T12:00:00Z,Reg,Hutch,Heads,Tails,5,555,5000,UChicago undergraduate student,NA,NA,NA,NA,NA
60,2020-04-30T14:15:38Z,"I would go to where we last saw each other, or I would just go to their door and knock on it, surprise them",1899-12-30T16:00:00Z,the front of the reg,their room,Heads,Heads,6,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
61,2020-04-30T15:22:16Z,the Bean,1899-12-30T12:00:00Z,The reg,Mine,Heads,Heads,10,100,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
62,2020-04-30T15:33:40Z,UChicago quad,1899-12-30T12:00:00Z,UChicago quad,my house,Heads,Tails,5,7,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
63,2020-04-30T17:11:01Z,the bean,1899-12-30T12:00:00Z,the reg entrance,pret,Heads,Heads,5,100,1010,UChicago undergraduate student,NA,NA,NA,NA,NA
64,2020-04-30T18:54:02Z,Millennium Park,1899-12-30T12:00:00Z,The Reg,North,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
65,2020-04-30T19:18:31Z,South (the dorm),1899-12-30T18:00:00Z,Reg Library,Reg Library,Heads,Heads,1,7,10,UChicago undergraduate student,NA,NA,NA,NA,NA
66,2020-04-30T20:49:10Z,Grant Park,1899-12-30T12:00:00Z,The Reg,Our apartment,Heads,Heads,7,100,1000,NA,NA,NA,NA,NA,NA
67,2020-04-30T21:55:36Z,his dorm,1899-12-30T17:00:00Z,the dining hall,their dorm,Heads,Heads,10,100,1000000000000,NA,NA,NA,TRUE,NA,NA
68,2020-04-30T22:29:42Z,The Reg,1899-12-30T17:00:00Z,The Reg,The Reg,Heads,Heads,10,100,100,NA,NA,NA,NA,NA,NA
69,2020-04-30T22:40:58Z,In the lobby of their office/apartment building,1899-12-30T18:00:00Z,The Regenstein Library,In the I-house lounge,Tails,Tails,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
70,2020-05-01T01:19:13Z,Baker at mealtime,1899-12-30T08:00:00Z,NA,NA,Heads,Tails,2,13,10000,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
71,2020-05-01T02:47:28Z,Art Insitute,1899-12-30T13:00:00Z,The Reynolds Club,The Reg,Heads,Tails,10,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
72,2020-05-01T07:05:54Z,The Bean,1899-12-30T12:00:00Z,The Reg,Her house,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
73,2020-05-01T08:11:22Z,My apartment,1899-12-30T12:00:00Z,The Quad,My room,Heads,Tails,7,99,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
74,2020-05-01T10:11:39Z,Millennium Park,1899-12-30T12:00:00Z,The Quad,My apartment,Heads,Tails,5,7,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
75,2020-05-01T11:32:01Z,Find out where they live and go meet them there in the early morning.,1899-12-30T11:00:00Z,"Meet them at the place that corresponds to the reason why you're meeting them (i.e. project, meet in Reg)",Meet them in their room.,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
76,2020-05-01T11:52:04Z,Chicago Bean,1899-12-30T12:30:00Z,Reynolds Club,My house within Campus North,Heads,Tails,8,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
77,2020-05-01T13:28:06Z,a coffee shop near their place of dwelling,1899-12-30T13:00:00Z,Reynolds club,her apartment,Tails,Heads,7,99,7,NA,NA,NA,TRUE,NA,NA
78,2020-05-01T16:33:36Z,The bean,1899-12-30T13:00:00Z,Plein Air,Reg 1st floor,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
79,2020-05-01T17:47:47Z,The Bean,1899-12-30T12:00:00Z,Center of the Quad,Their dorm,Heads,Heads,5,100,99e18,UChicago undergraduate student,NA,NA,NA,NA,NA
80,2020-05-01T18:13:19Z,Millennium Park,1899-12-30T12:00:00Z,"The quad (specifically, the very center of the quad)",The Regenstein Library,Heads,Heads,10,7,1000000,NA,NA,NA,NA,NA,NA
81,2020-05-01T22:30:56Z,their house/where they live,1899-12-30T12:00:00Z,the library/ a common space for students to hang out,their room,Heads,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,TRUE,NA
82,2020-05-02T00:14:20Z,I stay in my dorm room and wait for them to find where I live.,1899-12-30T15:00:00Z,I go to their dorm/apartment.,At the dining hall.,Heads,Heads,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
83,2020-05-02T02:04:07Z,I house,1899-12-30T17:00:00Z,the quad,i house,Tails,Tails,1,100,1e21,UChicago undergraduate student,NA,NA,NA,NA,NA
84,2020-05-02T02:06:49Z,Bartlett Dining Commons,1899-12-30T11:00:00Z,The Reg,Max P Lobby,Heads,Heads,5,100,1000000,NA,NA,NA,NA,NA,NA
85,2020-05-02T02:41:41Z,Reg,1899-12-30T10:00:00Z,Bookstore,My room,Heads,Heads,0,100,1000000,NA,NA,NA,NA,NA,NA
86,2020-05-02T09:00:57Z,NA,NA,NA,NA,Heads,Heads,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
87,2020-05-02T10:06:18Z,Navy Pier,1899-12-30T13:00:00Z,Main quad,Their dorm rooms,Heads,Heads,7,13,1000000,NA,NA,NA,NA,NA,NA
88,2020-05-02T10:57:43Z,A coffee shop we both know,1899-12-30T15:00:00Z,The library,Their dorm,Heads,Tails,7,100,2000,NA,NA,NA,TRUE,NA,NA
89,2020-05-02T11:37:54Z,The Bean,1899-12-30T13:30:00Z,Quad,Psi Upsilon,Heads,Heads,7,7,1000000,NA,NA,NA,NA,NA,NA
90,2020-05-02T12:12:04Z,Pret,1899-12-30T17:00:00Z,The Reg,Trott Lounge - Campus North,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
91,2020-05-02T12:14:02Z,A place where you both have been together before.,1899-12-30T12:00:00Z,The middle of the quad; the reg,the reg,Heads,Heads,5,100,500,NA,NA,NA,TRUE,TRUE,NA
92,2020-05-02T12:17:55Z,The Bean.,1899-12-30T11:00:00Z,In front of the quad.,In front of North.,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
93,2020-05-02T13:35:51Z,the Reg,1899-12-30T15:00:00Z,the quad,stacks in the reg,Heads,Tails,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
94,2020-05-02T15:59:47Z,The Bean,1899-12-30T12:00:00Z,The Reg,In front of my dorm,Heads,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
95,2020-05-02T16:01:09Z,Magnificent Mile,1899-12-30T12:00:00Z,Pret,The Reg,Heads,Tails,5,100,1000,NA,NA,NA,NA,NA,NA
96,2020-05-02T16:18:15Z,Wherever we usually see each other.,1899-12-30T13:00:00Z,The Reg,The Reg,Heads,Tails,4,13,100000,NA,NA,NA,TRUE,NA,NA
97,2020-05-02T17:23:42Z,where you expect them to be at a certain time,1899-12-30T12:00:00Z,no idea,where  we most frequently meet,Heads,Tails,5,100,1000000,NA,NA,NA,TRUE,NA,NA
98,2020-05-02T17:41:30Z,Regenstein Library,1899-12-30T20:00:00Z,Regenstein Library,my apartment (roommates),Heads,Tails,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
99,2020-05-02T17:44:37Z,UChicago campus,1899-12-30T12:30:00Z,Campus North,Dining hall,Heads,Tails,5,100,1e15,UChicago undergraduate student,NA,NA,NA,NA,NA
100,2020-05-02T18:51:42Z,The Reg,1899-12-30T19:00:00Z,The Reg,Her apt,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
101,2020-05-02T20:56:33Z,Union Station,1899-12-30T09:00:00Z,The Reg,Pret,Heads,Tails,1,99,999,UChicago undergraduate student,NA,NA,NA,NA,NA
102,2020-05-02T20:56:52Z,The bean?,1899-12-30T12:00:00Z,The reg,Our house lounge,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
103,2020-05-03T03:56:15Z,the Bean,1899-12-30T12:00:00Z,the Quad,Plein Air Café,Heads,Heads,3,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
104,2020-05-03T08:54:30Z,My home,1899-12-30T12:00:00Z,cafeteria,home,Tails,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
105,2020-05-03T10:42:31Z,I would meet them in the lobby of my dorm or by their room.,1899-12-30T12:00:00Z,This is tough but I would also say somewhere in the dorm!,Their room!,Tails,Tails,5,555,5,NA,NA,NA,NA,NA,NA
106,2020-05-03T10:57:05Z,The Bean,1899-12-30T12:00:00Z,The Quad,The Logan Center,Heads,Heads,5,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
107,2020-05-03T11:46:34Z,"I would either go to the place where we most commonly interact, if it was close. Or i would stay home.",1899-12-30T13:00:00Z,Library,Their house,Heads,Heads,0,100,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
108,2020-05-03T12:44:58Z,Millennium Park,1899-12-30T11:00:00Z,First floor of the reg,Mansueto,Heads,Heads,7,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
109,2020-05-03T13:25:36Z,The Bean,1899-12-30T12:00:00Z,In front of the Reg,I'd meet them at their apartment,Heads,Heads,3,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
110,2020-05-03T13:44:46Z,Reg,1899-12-30T14:00:00Z,Reg,Reg,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
111,2020-05-03T14:29:59Z,The Bean,1899-12-30T15:00:00Z,Pret,The Reg,Heads,Heads,7,7,1000000000,NA,NA,NA,NA,NA,NA
112,2020-05-03T14:57:08Z,"where I know they may be, like their job or school",1899-12-30T10:00:00Z,Reg,Their apartment,Heads,Heads,5,100,100,NA,NA,NA,TRUE,NA,NA
113,2020-05-03T15:04:06Z,the quad,1899-12-30T12:00:00Z,The quad,The reg,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
114,2020-05-03T15:06:40Z,The Reg,NA,The Reg,Their Apartment,Tails,Heads,7,261,100,UChicago undergraduate student,NA,NA,NA,NA,NA
115,2020-05-03T15:49:24Z,Clark and Lake,1899-12-30T10:00:00Z,Pret A Manger,Reg,Heads,Heads,10,100,999,UChicago undergraduate student,NA,NA,NA,NA,NA
116,2020-05-03T16:46:39Z,"The bean; if this person is in visiting Chicago, it probably seems like the most well-known ""Chicago spot.""",1899-12-30T12:30:00Z,Bartlett; I assume they have to stop by at some point.,My apartment... hopefully he comes back.,Heads,Tails,7,100,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
117,2020-05-03T18:25:41Z,"Where I usually see this person (i.e in class, ratner, etc)",1899-12-30T13:00:00Z,The Reg,The reg,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
118,2020-05-03T18:28:02Z,The Bean in Millennium Park,1899-12-30T12:00:00Z,The center quadrangle,Our dormitory,Heads,Tails,7,100,1000,NA,NA,NA,NA,NA,NA
119,2020-05-03T19:24:08Z,The Med,1899-12-30T18:00:00Z,The Reg,Dorm,Heads,Tails,5,13,500,NA,NA,NA,NA,NA,NA
120,2020-05-03T19:35:22Z,"meet at a starbucks but tell a mutual friend to tell them time/address, so we do not communicate directly",1899-12-30T15:00:00Z,reg,spot we see each other the most (reg),Heads,Tails,8,261,888,NA,NA,NA,TRUE,NA,NA
