Timestamp,"You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHERE do you go to meet them?","You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHAT TIME do you go to meet them?","You are meeting another UChicago student who you have not met before. You both know that you are both UChicago students and that you should meet today somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You are meeting your closest friend from UChicago. You both know you should meet somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You and an anonymous partner need to choose heads or tails. If you both choose the SAME answer, you both win. Which do you choose?","You and an anonymous partner need to choose heads or tails. If you both choose DIFFERENT answers, you both win. Which do you choose?","You and an anonymous partner each give a number between 0 and 10. If you choose the same number, you both win. What number do you choose?","You and an anonymous partner each choose a number from the list below. If you choose the same number, you both win. Which number do you choose?","You and an anonymous partner each give a number. If you say the same number, you both win. The bigger the number, the more you win. What number do you choose? (your answer should contain only numerical characters; no letters, punctuation, or symbols)",Which best describes you?,OPTIONAL: Which of the following describe you? Select all that apply.,"OPTIONAL: What language do you feel most comfortable/proficient speaking? (If you consider yourself equally proficient in more than one language, list all.)",STRANGER_ERROR,STUDENT_ERROR,FRIEND_ERROR
2023-11-03T11:50:43Z,Willis Tower,1899-12-30T12:00:00Z,,common spot,Heads,Heads,5,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2023-11-03T12:45:29Z,art institute entrance,1899-12-30T12:00:00Z,,our apartment,Heads,Heads,6,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2023-11-03T13:25:27Z,Cloud Gate (the giant mirrored bean),1899-12-30T10:00:00Z,,classroom building,Heads,Tails,5,99,100000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","Mandarin, English",NA,NA,NA
2023-11-03T16:51:18Z,The bean,1899-12-30T11:00:00Z,,Harper cafe,Heads,Tails,4,261,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","English, Hindi, Gujarati",NA,NA,NA
2023-11-04T12:13:47Z,Art institute,1899-12-30T10:00:00Z,,1155 building,Heads,Heads,5,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Chinese,NA,NA,NA
2023-11-04T20:30:15Z,Millennium Park,1899-12-30T10:00:00Z,,Plain Air Cafe,Heads,Heads,7,100,9999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese; English,NA,NA,NA
2023-11-05T22:48:37Z,Bean,1899-12-30T12:00:00Z,,Front door,Tails,Tails,8,7,8,Other UChicago student,Woman,English,NA,NA,NA
2023-11-06T16:20:43Z,To a place we talked about the most before agreeing to meet,1899-12-30T10:00:00Z,,Our normal meeting place,Heads,Heads,7,7,5555,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",NA,NA,NA,NA
2023-11-07T10:35:34Z,The bean (if it wasn’t still under construction),1899-12-30T12:00:00Z,,My apartment,Heads,Tails,7,7,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",English,NA,NA,NA
2024-01-09T14:16:03Z,The bean,1899-12-30T12:00:00Z,,Kelly Beecher Green,Heads,Heads,6,100,100000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,"Chinese, English",NA,NA,NA
2024-11-01T13:24:08Z,Near the riverwalk,1899-12-30T14:00:00Z,,any coffee shop on campus,Heads,Heads,5,100,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Chinese/English,NA,NA,NA
2024-11-01T14:28:09Z,Insomnia Cookies,1899-12-30T14:00:00Z,,Insomnia Cookies,Heads,Tails,5,555,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T14:32:46Z,University of Chicago,1899-12-30T10:00:00Z,,Starbucks,Heads,Tails,7,555,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)","English, Korean",NA,NA,NA
2024-11-01T14:39:37Z,A coffee shop,1899-12-30T10:30:00Z,,MAPSS student lounge,Heads,Tails,10,100,100000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T14:44:31Z,The Bean,1899-12-30T22:00:00Z,,Harper Library,Heads,Heads,7,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","English, French",NA,NA,NA
2024-11-01T14:54:39Z,Trump Tower,1899-12-30T08:30:00Z,,Regenstein Library,Heads,Tails,5,99,99,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin,NA,NA,NA
2024-11-01T14:58:29Z,The Bean,1899-12-30T12:00:00Z,,"where he proposed to me, overlooking Robie House",Heads,Tails,7,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2024-11-01T15:00:14Z,Bean,1899-12-30T12:00:00Z,,social work,Heads,Tails,7,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",Spanish and English,NA,NA,NA
2024-11-01T15:21:19Z,Cafeteria,1899-12-30T10:00:00Z,,Her apartment,Heads,Heads,0,99,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), Raised outside the US",NA,NA,NA,NA
2024-11-01T15:32:40Z,Navy Pier,1899-12-30T09:00:00Z,,UChicago Bookstore,Heads,Heads,0,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T16:21:48Z,Cloudgate,1899-12-30T15:30:00Z,,The University Bookstore,Heads,Heads,5,555,999999999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2024-11-01T17:34:50Z,Millennium Park,1899-12-30T12:00:00Z,,Our lab,Heads,Heads,8,100,10000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin,NA,NA,NA
2024-11-01T17:35:06Z,Chicago subway station,1899-12-30T12:00:00Z,,Grounds of Being,Heads,Heads,5,555,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2024-11-01T17:45:19Z,millennium park,1899-12-30T11:30:00Z,,library,Heads,Heads,5,100,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T18:12:36Z,the bean,1899-12-30T12:00:00Z,,main quad,Heads,Heads,7,555,1500,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2024-11-01T19:00:19Z,The Mansueto Library,1899-12-30T09:30:00Z,,"The Graduate Lounge in 1155 Building, 2nd floor",Heads,Heads,7,555,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2024-11-01T20:33:32Z,Millennium Park,1899-12-30T11:00:00Z,,Reg Library,Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T21:31:52Z,La Serre,1899-12-30T18:00:00Z,,Starbucks,Tails,Heads,6,13,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Chinese,NA,NA,NA
2024-11-02T00:45:34Z,In front of Reg,1899-12-30T10:00:00Z,,"Still, in front of Reg",Heads,Heads,5,100,100000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to Chicago (<1 year)","Mandarin, Japanese, English",NA,NA,NA
2024-11-02T10:08:45Z,their house,1899-12-30T12:00:00Z,,her house,Heads,Heads,7,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",NA,NA,NA,NA
2024-11-02T10:21:50Z,The Bean,1899-12-30T13:00:00Z,,The pub,Heads,Heads,5,261,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year)",English,NA,NA,NA
2024-11-02T10:32:28Z,Restaurant,1899-12-30T05:19:59Z,,Library,Heads,Tails,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year)",Mandarin,NA,NA,NA
2024-11-02T11:15:34Z,I am not planning going out since I don't now where and when to go.,NA,,campus,Heads,Heads,0,261,0,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",mandarin Chinese,TRUE,TRUE,TRUE
2024-11-02T17:37:46Z,The Bean,1899-12-30T12:00:00Z,,Hallowed Grounds,Heads,Tails,10,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,"Spanish, French, English",NA,NA,NA
2024-11-03T12:38:14Z,The bean,1899-12-30T12:00:00Z,,Psych dept,Heads,Heads,10,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,English,NA,NA,NA
2024-11-03T13:31:35Z,center of the Chicago,1899-12-30T12:00:00Z,,the Uchicago Quad,Heads,Heads,0,261,0,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2024-11-03T14:42:28Z,millennium park,1899-12-30T09:30:00Z,,regenstein library,Heads,Tails,10,100,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",Chinese and English,NA,NA,NA
2024-11-03T15:02:36Z,Cafe near me,1899-12-30T11:30:00Z,,After class,Heads,Heads,7,13,988,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",NA,NA,NA,NA
2024-11-03T17:20:28Z,The Bean,1899-12-30T12:00:00Z,,Go to their house,Heads,Heads,5,261,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-03T23:27:32Z,The Millennium Park,1899-12-30T13:00:00Z,,Plein air cafe,Heads,Heads,10,99,9999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2024-11-04T14:28:19Z,Hyde Park,1899-12-30T13:00:00Z,,Perspective class room,Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2024-11-04T16:26:01Z,DuSable Bridge,1899-12-30T12:00:00Z,,Main Quadrangle,Heads,Heads,5,100,100,UChicago undergraduate student,Man,Chinese,NA,NA,NA
2024-11-04T21:32:02Z,Rockefeller Memorial Chapel,1899-12-30T12:00:00Z,,1155 E 60th St,Heads,Tails,8,99,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,"English, Chinese",NA,NA,NA
2024-11-05T00:34:23Z,Industry Museum,1899-12-30T13:00:00Z,,Mapss,Heads,Heads,3,99,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2024-11-05T09:52:32Z,the bean,1899-12-30T13:00:00Z,,the museum of science and industry,Heads,Heads,1,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US","English,Arabic",NA,NA,NA
2024-11-17T11:22:14Z,The bean,1899-12-30T12:00:00Z,,Jimmy's Pub,Heads,Tails,7,7,1000000,UChicago PhD student,Woman,English,NA,NA,NA
2025-02-11T13:22:01Z,The Bean,1899-12-30T12:00:00Z,,NA,Heads,Heads,10,7,100,Not affiliated with UChicago,"Woman, Never been part of the UChicago campus/community",English,NA,NA,NA
2025-03-27T22:32:59Z,middle of the main quad,1899-12-30T10:00:00Z,,Village Tap,Heads,Heads,9,99,0,UChicago faculty/staff,Man,English,NA,NA,NA
2025-03-28T09:21:43Z,public,1899-12-30T12:30:00Z,,pret a manger,Tails,Heads,7,99,1000000,UChicago faculty/staff,"Man, New to Chicago (<1 year), New to the University of Chicago (<1 year)",English,NA,NA,NA
2025-10-31T17:17:40Z,South loop,1899-12-30T09:00:00Z,,1155 student lounge,Heads,Tails,7,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2025-11-01T10:55:28Z,Wills Tower,1899-12-30T10:00:00Z,,My friend's place (e.g. apartment),Heads,Heads,10,7,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)","Chinese, English",NA,NA,NA
2025-11-01T13:40:58Z,Buckingham Fountain,1899-12-30T12:00:00Z,,Common area in the 1155 building,Tails,Heads,7,261,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2025-11-02T00:08:11Z,A place we both know like the memorial park,1899-12-30T10:00:00Z,,UChicago library,Heads,Tails,5,555,99999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Chines mandarin,TRUE,NA,NA
2025-11-02T08:51:53Z,The Bean,1899-12-30T11:30:00Z,,My home,Heads,Tails,5,100,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, Raised outside the US, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Chinese,NA,NA,NA
2025-11-02T17:03:28Z,the bean,1899-12-30T12:00:00Z,,stuart hall cubicles,Tails,Tails,7,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,"english, spanish",NA,NA,NA
2025-11-02T17:31:52Z,the bean,1899-12-30T09:00:00Z,,Chicago Booth Harper Center,Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2025-11-02T17:37:11Z,the bean,1899-12-30T12:00:00Z,,regenstein,Heads,Heads,5,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Non-binary or other gender identity, New to Chicago (<1 year), New to the University of Chicago (<1 year)",English,NA,NA,NA
2025-11-02T17:59:43Z,bean,1899-12-30T09:00:00Z,,jimmys,Heads,Heads,10,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)",english,NA,NA,NA
2025-11-03T16:47:59Z,The park,1899-12-30T15:00:00Z,,Philz,Heads,Tails,7,7,107,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2025-11-03T20:59:37Z,Their house,1899-12-30T12:00:00Z,,Plein air,Heads,Heads,2,555,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,TRUE,TRUE,NA
2025-11-06T11:43:06Z,cafes,1899-12-30T13:30:00Z,,Library,Tails,Heads,3,555,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2025-11-07T17:23:48Z,Dining Hall,1899-12-30T17:00:00Z,,Harris School of Public Policy,Heads,Heads,6,100,666,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,mandarin Chinese,NA,NA,NA
2025-11-07T18:45:14Z,Millennium Station,1899-12-30T12:00:00Z,,UChicago Bookstore,Heads,Tails,1,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to Chicago (<1 year), New to the University of Chicago (<1 year)",NA,NA,NA,NA
2025-11-07T20:56:40Z,The bean,1899-12-30T12:00:00Z,,1155 Building,Heads,Tails,7,100,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)","English, Japanese",NA,NA,NA
2025-11-07T22:07:55Z,Millennium Park,1899-12-30T14:00:00Z,,Millennium Park,Heads,Heads,6,100,6,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Mandarin Chinese,NA,NA,NA
2025-11-08T14:14:09Z,LAKE,1899-12-30T19:00:00Z,,DOWNTOWN,Heads,Heads,8,99,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,ENGLISH,NA,NA,NA
2025-11-08T14:36:22Z,I will not go,1899-12-30T15:00:00Z,,Their home,Heads,Heads,10,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin,NA,NA,NA
2025-11-08T14:51:40Z,bean,1899-12-30T12:00:00Z,,gold coast,Heads,Heads,7,99,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,english,NA,NA,NA
2025-11-08T15:12:04Z,in front of the art museum,1899-12-30T12:00:00Z,,plein air cafe,Heads,Tails,7,555,99,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2025-11-11T15:36:51Z,Millenium Park,1899-12-30T12:00:00Z,,Our dorm building.,Heads,Heads,10,100,9999999999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2025-11-11T15:37:37Z,millennium station,1899-12-30T12:00:00Z,,the reg,Heads,Heads,7,555,67,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,english,NA,NA,NA
2025-11-11T15:37:54Z,The Bean,1899-12-30T12:00:00Z,,Lobby of our building,Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2025-11-11T15:37:59Z,Library,1899-12-30T03:30:00Z,,Restaurant,Tails,Tails,7,100,666666,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,Chinese,NA,NA,NA
2025-11-11T15:38:28Z,the bean,1899-12-30T13:00:00Z,,Raising Cane's,Heads,Tails,7,99,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2025-11-11T15:38:43Z,Trump building,1899-12-30T10:00:00Z,,My apartment,Heads,Heads,0,99,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Mandarin,NA,NA,NA
2025-11-11T15:38:48Z,The bean!,1899-12-30T17:30:00Z,,Reg,Heads,Heads,10,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2025-11-11T15:39:24Z,The bean,1899-12-30T12:00:00Z,,The reg,Heads,Heads,8,13,10000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Non-binary or other gender identity, New to Chicago (<1 year), New to the University of Chicago (<1 year)",English,NA,NA,NA
2025-11-11T15:39:31Z,UChicago library,1899-12-30T09:00:00Z,,My apartment,Heads,Heads,5,99,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year)",Mandarin and English,NA,NA,NA
2025-11-11T15:39:31Z,The Bean,1899-12-30T12:00:00Z,,UChicago Bookstore,Heads,Tails,2,555,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, Non-binary or other gender identity, New to Chicago (<1 year), New to the University of Chicago (<1 year)","Portuguese, English",NA,NA,NA
2025-11-11T15:39:44Z,the beans,1899-12-30T12:00:00Z,,my home,Heads,Heads,5,100,0,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year)",NA,NA,NA,NA
2025-11-11T15:39:58Z,The Bean,1899-12-30T12:00:00Z,,Building 1155,Heads,Heads,10,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to Chicago (<1 year), New to the University of Chicago (<1 year)","English, Vietnamese",NA,NA,NA
2025-11-11T15:40:24Z,"If they are flying into the city, I would meet them at the airport. If they already live in chicago, I would go to a popular tourist location.",1899-12-30T12:00:00Z,,at a cafe on campus or in the city that meets our vibe,Heads,Tails,7,13,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",english,NA,NA,NA
2025-11-11T15:41:19Z,Campus,1899-12-30T14:00:00Z,,Home,Heads,Heads,1,100,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2025-11-11T15:41:31Z,Cloud Gate,1899-12-30T01:30:00Z,,Biopsychological building,Heads,Heads,0,99,99999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, Raised outside the US, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Chinese,NA,NA,NA
2025-11-11T15:42:44Z,Bean,1899-12-30T12:00:00Z,,Trader joes,Heads,Tails,0,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2025-11-11T15:44:17Z,Campus,1899-12-30T13:00:00Z,,NEMA,Heads,Heads,5,100,999999999999999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, Raised outside the US, New to Chicago (<1 year), New to the University of Chicago (<1 year)",Mandrain,NA,NA,NA
